% Longley-Rice Propagation Model Results
% Generated: 2025-08-13 18:47:15
% Frequency: 970.0 MHz
% TX Height: 52.0 m, RX Height: 2.4 m
% Polarization: vertical
% Calculation Points: 800
%
% Columns: Distance(m), Total_Loss(dB), Reflection_Loss(dB), Diffraction_Loss(dB), FreeSpace_Loss(dB), E_Field(V/m)
93.00	121.555	-0.151	59.824	71.555	5.918959e-06
94.00	121.648	-0.642	59.807	71.648	5.855991e-06
95.00	121.740	-0.222	59.790	71.740	5.794349e-06
96.00	121.831	0.407	59.774	71.831	5.733991e-06
97.00	121.921	0.443	59.757	71.921	5.674878e-06
98.00	122.010	-0.093	59.740	72.010	5.616971e-06
99.00	122.098	-0.465	59.724	72.098	5.560234e-06
100.00	122.185	-0.137	59.707	72.185	5.504632e-06
101.00	122.272	0.315	59.694	72.272	5.450130e-06
102.00	122.357	0.273	59.680	72.357	5.396698e-06
103.00	122.442	-0.140	59.667	72.442	5.344303e-06
104.00	122.526	-0.293	59.654	72.526	5.292915e-06
105.00	122.609	0.004	59.640	72.609	5.242506e-06
106.00	122.692	0.226	59.627	72.692	5.193049e-06
107.00	122.773	0.084	59.613	72.773	5.144516e-06
108.00	122.854	-0.143	59.600	72.854	5.096881e-06
109.00	122.934	-0.103	59.587	72.934	5.050121e-06
110.00	123.013	0.064	59.573	73.013	5.004211e-06
111.00	123.092	0.078	59.560	73.092	4.959128e-06
112.00	123.170	-0.011	59.546	73.170	4.914850e-06
113.00	123.247	-0.029	59.532	73.247	4.871355e-06
114.00	123.324	-0.010	59.518	73.324	4.828624e-06
115.00	123.399	-0.029	59.505	73.399	4.786636e-06
116.00	123.475	0.004	59.491	73.475	4.745372e-06
117.00	123.549	0.084	59.478	73.549	4.704813e-06
118.00	123.623	0.022	59.464	73.623	4.664942e-06
119.00	123.696	-0.135	59.451	73.696	4.625741e-06
120.00	123.769	-0.057	59.438	73.769	4.587193e-06
121.00	123.841	0.174	59.422	73.841	4.549282e-06
122.00	123.913	0.103	59.405	73.913	4.511993e-06
123.00	123.984	-0.213	59.390	73.984	4.475310e-06
124.00	124.054	-0.143	59.374	74.054	4.439219e-06
125.00	124.124	0.245	59.358	74.124	4.403705e-06
126.00	124.193	0.184	59.342	74.193	4.368755e-06
127.00	124.262	-0.287	59.327	74.262	4.334356e-06
128.00	124.330	-0.208	59.311	74.330	4.300494e-06
129.00	124.397	0.326	59.296	74.397	4.267156e-06
130.00	124.464	0.230	59.281	74.464	4.234332e-06
131.00	124.531	-0.387	59.262	74.531	4.202009e-06
132.00	124.597	-0.221	59.244	74.597	4.170176e-06
133.00	124.662	0.433	59.226	74.662	4.138821e-06
134.00	124.728	0.218	59.209	74.728	4.107934e-06
135.00	124.792	-0.520	59.191	74.792	4.077505e-06
136.00	124.856	-0.143	59.173	74.856	4.047523e-06
137.00	124.920	0.556	59.156	74.920	4.017979e-06
138.00	124.983	0.096	59.139	74.983	3.988864e-06
139.00	125.046	-0.656	59.122	75.046	3.960167e-06
140.00	125.108	0.071	59.105	75.108	3.931880e-06
141.00	125.170	0.643	59.084	75.170	3.903994e-06
142.00	125.231	-0.165	59.064	75.231	3.876501e-06
143.00	125.292	-0.688	59.044	75.292	3.849393e-06
144.00	125.353	0.377	59.024	75.353	3.822661e-06
145.00	125.413	0.602	59.004	75.413	3.796298e-06
146.00	125.472	-0.547	58.984	75.472	3.770296e-06
147.00	125.532	-0.476	58.965	75.532	3.744647e-06
148.00	125.591	0.704	58.945	75.591	3.719346e-06
149.00	125.649	0.314	58.926	75.649	3.694384e-06
150.00	125.707	-0.898	58.907	75.707	3.669754e-06
151.00	125.765	0.035	58.886	75.765	3.645451e-06
152.00	125.822	0.855	58.865	75.822	3.621468e-06
153.00	125.879	-0.265	58.844	75.879	3.597798e-06
154.00	125.936	-0.849	58.823	75.936	3.574436e-06
155.00	125.992	0.638	58.803	75.992	3.551375e-06
156.00	126.048	0.617	58.783	76.048	3.528610e-06
157.00	126.103	-0.941	58.763	76.103	3.506135e-06
158.00	126.159	-0.194	58.743	76.159	3.483944e-06
159.00	126.213	0.987	58.723	76.213	3.462033e-06
160.00	126.268	-0.143	58.703	76.268	3.440395e-06
161.00	126.322	-1.035	58.683	76.322	3.419026e-06
162.00	126.376	0.685	58.664	76.376	3.397921e-06
163.00	126.429	0.711	58.644	76.429	3.377075e-06
164.00	126.482	-1.087	58.625	76.482	3.356483e-06
165.00	126.535	-0.128	58.606	76.535	3.336140e-06
166.00	126.588	1.100	58.587	76.588	3.316043e-06
167.00	126.640	-0.335	58.568	76.640	3.296187e-06
168.00	126.692	-1.015	58.549	76.692	3.276566e-06
169.00	126.743	0.934	58.531	76.743	3.257179e-06
170.00	126.794	0.540	58.512	76.794	3.238019e-06
