% MoM Surface Current Results - Generated: 2025-06-01 15:59:53
% Distance(m)	Magnitude(A/m)	Real(A/m)	Imag(A/m)	Phase(deg)
7.108556	2.456606e-01	1.051497e-01	-2.220196e-01	-64.658
7.185823	2.456560e-01	5.563070e-02	-2.392741e-01	-76.911
7.263090	2.455853e-01	2.953728e-03	-2.455676e-01	-89.311
7.340357	2.454542e-01	-5.034723e-02	-2.402352e-01	-101.836
7.417624	2.453541e-01	-1.016362e-01	-2.233130e-01	-114.472
7.494891	2.453099e-01	-1.484299e-01	-1.953087e-01	-127.234
7.572158	2.452722e-01	-1.882937e-01	-1.571748e-01	-140.147
7.649425	2.451921e-01	-2.188510e-01	-1.105595e-01	-153.198
7.726692	2.450665e-01	-2.381547e-01	-5.779242e-02	-166.360
7.803959	2.449585e-01	-2.449537e-01	-1.537675e-03	-179.640
7.881226	2.449241e-01	-2.385867e-01	5.535546e-02	166.938
7.958492	2.448961e-01	-2.189287e-01	1.097467e-01	153.376
8.035759	2.447772e-01	-1.866512e-01	1.583578e-01	139.688
8.113026	2.446300e-01	-1.433709e-01	1.982136e-01	125.879
8.190293	2.445707e-01	-9.140727e-02	2.268469e-01	111.947
8.267560	2.445474e-01	-3.354332e-02	2.422360e-01	97.884
8.344827	2.444548e-01	2.692473e-02	2.429675e-01	83.677
8.422094	2.443302e-01	8.621674e-02	2.286130e-01	69.337
8.499361	2.442370e-01	1.404692e-01	1.998002e-01	54.891
8.576628	2.441555e-01	1.861455e-01	1.579929e-01	40.323
8.653895	2.440886e-01	2.201217e-01	1.054783e-01	25.603
8.731162	2.440353e-01	2.397549e-01	4.550614e-02	10.747
8.808429	2.439145e-01	2.432546e-01	-1.793046e-02	-4.216
8.885695	2.437555e-01	2.300507e-01	-8.058169e-02	-19.304
8.962962	2.437084e-01	2.007656e-01	-1.381555e-01	-34.534
9.040229	2.437044e-01	1.570265e-01	-1.863720e-01	-49.884
9.117496	2.435568e-01	1.015233e-01	-2.213886e-01	-65.365
9.194763	2.433897e-01	3.811546e-02	-2.403866e-01	-80.990
9.272030	2.433674e-01	-2.848485e-02	-2.416946e-01	-96.722
9.349297	2.432961e-01	-9.332777e-02	-2.246841e-01	-112.557
9.426564	2.431207e-01	-1.515635e-01	-1.900951e-01	-128.565
9.503831	2.431065e-01	-1.984584e-01	-1.404103e-01	-144.720
9.581098	2.430751e-01	-2.297325e-01	-7.942612e-02	-160.928
9.658365	2.427251e-01	-2.424512e-01	-1.152754e-02	-177.278
