% MoM Surface Current Results - Generated: 2025-06-01 15:59:53
% Distance(m)	Magnitude(A/m)	Real(A/m)	Imag(A/m)	Phase(deg)
66.835883	1.227247e-01	-1.164900e-01	-3.861915e-02	-161.658
66.913150	1.225950e-01	-7.638024e-02	9.589368e-02	128.538
66.990417	1.224659e-01	6.362052e-02	1.046439e-01	58.702
67.067684	1.223375e-01	1.200214e-01	-2.369236e-02	-11.167
67.144951	1.222097e-01	1.897627e-02	-1.207274e-01	-81.067
67.222218	1.220825e-01	-1.067756e-01	-5.918701e-02	-151.000
67.299485	1.219557e-01	-9.209032e-02	7.995357e-02	139.035
67.376752	1.218293e-01	4.358399e-02	1.137665e-01	69.038
67.454018	1.217031e-01	1.216849e-01	-2.105089e-03	-0.991
67.531285	1.215768e-01	3.947654e-02	-1.149892e-01	-71.052
67.608552	1.214504e-01	-9.457856e-02	-7.619123e-02	-141.146
67.685819	1.213239e-01	-1.036986e-01	6.297672e-02	148.729
67.763086	1.211969e-01	2.401191e-02	1.187945e-01	78.573
67.840353	1.210699e-01	1.197758e-01	1.765404e-02	8.385
67.917620	1.209425e-01	5.708629e-02	-1.066219e-01	-61.835
67.994887	1.208152e-01	-8.097568e-02	-8.966183e-02	-132.086
68.072154	1.206877e-01	-1.116070e-01	4.592818e-02	157.632
68.149421	1.205607e-01	5.639750e-03	1.204287e-01	87.319
68.226688	1.204338e-01	1.151870e-01	3.516023e-02	16.975
68.303955	1.203074e-01	7.172883e-02	-9.658601e-02	-53.401
68.381221	1.201816e-01	-6.686899e-02	-9.986069e-02	-123.807
68.458488	1.200562e-01	-1.163650e-01	2.954140e-02	165.755
68.535755	1.199316e-01	-1.105099e-02	1.194214e-01	95.287
68.613022	1.198071e-01	1.087692e-01	5.022947e-02	24.787
68.690289	1.196835e-01	8.352440e-02	-8.571935e-02	-45.743
68.767556	1.195595e-01	-5.298174e-02	-1.071793e-01	-116.304
68.844823	1.194363e-01	-1.185720e-01	1.434231e-02	173.103
68.922090	1.193124e-01	-2.578333e-02	1.164932e-01	102.480
68.999357	1.191890e-01	1.012694e-01	6.285313e-02	31.826
69.076624	1.190651e-01	9.271592e-02	-7.470111e-02	-38.858
69.153891	1.189410e-01	-3.984746e-02	-1.120676e-01	-109.574
69.231158	1.188172e-01	-1.188153e-01	6.609762e-04	179.681
69.308424	1.186922e-01	-3.845691e-02	1.122894e-01	108.905
69.385691	1.185689e-01	9.330633e-02	7.316086e-02	38.100
69.462958	1.184433e-01	9.963088e-02	-6.405072e-02	-32.736
69.540225	1.183209e-01	-2.782665e-02	-1.150022e-01	-103.602
69.617492	1.181952e-01	-1.176505e-01	-1.133380e-02	-174.497
69.694759	1.180737e-01	-4.910627e-02	1.073777e-01	114.576
69.772026	1.179493e-01	8.538415e-02	8.137310e-02	43.622
69.849293	1.178269e-01	1.046399e-01	-5.416339e-02	-27.367
69.926560	1.177109e-01	-1.714772e-02	-1.164552e-01	-98.376
70.003827	1.175572e-01	-1.155743e-01	-2.150046e-02	-169.462
70.081094	1.173102e-01	-5.756150e-02	1.022172e-01	119.385
70.158361	1.171471e-01	7.804044e-02	8.736778e-02	48.227
70.235627	1.170096e-01	1.077393e-01	-4.564526e-02	-22.961
70.312894	1.168853e-01	-8.520380e-03	-1.165743e-01	-94.180
70.390161	1.167675e-01	-1.130133e-01	-2.937064e-02	-165.432
70.467428	1.166536e-01	-6.401929e-02	9.751714e-02	123.285
70.544695	1.165408e-01	7.179810e-02	9.179751e-02	51.970
70.621962	1.164279e-01	1.098334e-01	-3.862728e-02	-19.376
70.699229	1.163139e-01	-1.527681e-03	-1.163039e-01	-90.753
70.776496	1.161982e-01	-1.106103e-01	-3.560038e-02	-162.159
70.853763	1.160810e-01	-6.889314e-02	9.342664e-02	126.405
70.931030	1.159618e-01	6.661203e-02	9.492091e-02	54.940
71.008297	1.158416e-01	1.110405e-01	-3.300435e-02	-16.553
71.085564	1.157200e-01	3.886114e-03	-1.156547e-01	-88.076
71.162830	1.155981e-01	-1.083663e-01	-4.024510e-02	-159.626
71.240097	1.154757e-01	-7.235043e-02	9.000034e-02	128.795
71.317364	1.153538e-01	6.250736e-02	9.695011e-02	57.189
71.394631	1.152322e-01	1.115889e-01	-2.874711e-02	-14.446
71.471898	1.151114e-01	7.810323e-03	-1.148461e-01	-86.109
71.549165	1.149916e-01	-1.064679e-01	-4.344691e-02	-157.801
71.626432	1.148723e-01	-7.457194e-02	8.737662e-02	130.479
71.703699	1.147543e-01	5.956397e-02	9.808506e-02	58.731
71.780966	1.146365e-01	1.116778e-01	-2.587677e-02	-13.046
71.858233	1.145197e-01	1.027770e-02	-1.140576e-01	-84.851
71.935500	1.144028e-01	-1.050607e-01	-4.527975e-02	-156.685
72.012767	1.142865e-01	-7.565858e-02	8.565732e-02	131.453
72.090033	1.141699e-01	5.783750e-02	9.843566e-02	59.563
72.167300	1.140532e-01	1.114114e-01	-2.440528e-02	-12.356
72.244567	1.139363e-01	1.131149e-02	-1.133735e-01	-84.302
72.321834	1.138190e-01	-1.042015e-01	-4.579101e-02	-156.277
72.399101	1.137018e-01	-7.566837e-02	8.486695e-02	131.721
72.476368	1.135840e-01	5.732269e-02	9.805828e-02	59.690
72.553635	1.134665e-01	1.108335e-01	-2.430208e-02	-12.367
72.630902	1.133486e-01	1.095745e-02	-1.128177e-01	-84.453
72.708169	1.132313e-01	-1.038913e-01	-4.503251e-02	-156.565
72.785436	1.131138e-01	-7.464750e-02	8.498523e-02	131.295
72.862703	1.129970e-01	5.798267e-02	9.698624e-02	59.127
72.939970	1.128805e-01	1.099573e-01	-2.552220e-02	-13.068
73.017237	1.127643e-01	9.259673e-03	-1.123835e-01	-85.290
73.094503	1.126488e-01	-1.041035e-01	-4.303756e-02	-157.539
73.171770	1.125334e-01	-7.261128e-02	8.597310e-02	130.184
73.249037	1.124188e-01	5.977297e-02	9.521127e-02	57.880
73.326304	1.123040e-01	1.087505e-01	-2.802720e-02	-14.452
73.403571	1.121899e-01	6.241974e-03	-1.120161e-01	-86.811
73.480838	1.120754e-01	-1.047684e-01	-3.980535e-02	-159.196
73.558105	1.119614e-01	-6.952994e-02	8.775495e-02	128.390
73.635372	1.118470e-01	6.262405e-02	9.267130e-02	55.951
73.712639	1.117326e-01	1.071223e-01	-3.176486e-02	-16.517
73.789906	1.116183e-01	1.927912e-03	-1.116016e-01	-89.010
73.867173	1.115036e-01	-1.057607e-01	-3.532329e-02	-161.531
73.944440	1.113893e-01	-6.534990e-02	9.020509e-02	125.922
74.021706	1.112744e-01	6.642583e-02	8.927266e-02	53.348
74.098973	1.111603e-01	1.049436e-01	-3.665298e-02	-19.252
74.176240	1.110456e-01	-3.641478e-03	-1.109859e-01	-91.879
74.253507	1.109318e-01	-1.069141e-01	-2.958464e-02	-164.532
74.330774	1.108178e-01	-6.001151e-02	9.316219e-02	122.788
74.408041	1.107044e-01	7.103794e-02	8.490632e-02	50.082
74.485308	1.105912e-01	1.020618e-01	-4.258875e-02	-22.650
74.562575	1.104784e-01	-1.041358e-02	-1.099866e-01	-95.409
74.639842	1.103661e-01	-1.080312e-01	-2.258213e-02	-168.193
74.717109	1.102538e-01	-5.344463e-02	9.643432e-02	118.996
74.794376	1.101423e-01	7.629192e-02	7.944097e-02	46.158
74.871643	1.100303e-01	9.829356e-02	-4.944743e-02	-26.705
74.948909	1.099192e-01	-1.832095e-02	-1.083816e-01	-99.595
75.026176	1.098075e-01	-1.088706e-01	-1.431332e-02	-172.510
75.103443	1.096964e-01	-4.557402e-02	9.978132e-02	114.548
75.180710	1.095848e-01	8.197189e-02	7.272847e-02	41.581
75.257977	1.094735e-01	9.342826e-02	-5.705792e-02	-31.413
75.335244	1.093620e-01	-2.725628e-02	-1.059110e-01	-104.432
75.412511	1.092504e-01	-1.091445e-01	-4.809230e-03	-177.477
75.489778	1.091391e-01	-3.634650e-02	1.029090e-01	109.453
75.567045	1.090273e-01	8.780436e-02	6.463238e-02	36.357
75.644312	1.089163e-01	8.725286e-02	-6.518969e-02	-36.765
75.721579	1.088046e-01	-3.705555e-02	-1.023002e-01	-109.912
75.798846	1.086940e-01	-1.085366e-01	5.847326e-03	176.916
75.876112	1.085828e-01	-2.575117e-02	1.054851e-01	103.719
75.953379	1.084727e-01	9.346720e-02	5.504731e-02	30.496
76.030646	1.083622e-01	7.957031e-02	-7.355911e-02	-42.752
76.107913	1.082526e-01	-4.749809e-02	-9.727565e-02	-116.025
76.185180	1.081430e-01	-1.067143e-01	1.752052e-02	170.676
76.262447	1.080337e-01	-1.382512e-02	1.071455e-01	97.352
76.339714	1.079251e-01	9.859160e-02	4.390347e-02	24.004
76.416981	1.078160e-01	7.020605e-02	-8.182538e-02	-49.370
76.494248	1.077079e-01	-5.829788e-02	-9.056684e-02	-122.769
76.571515	1.075989e-01	-1.033300e-01	3.000749e-02	163.806
76.648782	1.074912e-01	-6.704360e-04	1.074891e-01	90.357
76.726049	1.073823e-01	1.027538e-01	3.118669e-02	16.884
76.803315	1.072744e-01	5.902826e-02	-8.957379e-02	-56.616
76.880582	1.071657e-01	-6.908344e-02	-8.192656e-02	-130.139
76.957849	1.070575e-01	-9.803802e-02	4.300991e-02	156.313
77.035116	1.069490e-01	1.351513e-02	1.060917e-01	82.740
77.112383	1.068405e-01	1.054832e-01	1.697575e-02	9.142
77.189650	1.067325e-01	4.598462e-02	-9.631839e-02	-64.479
77.266917	1.066237e-01	-7.939307e-02	-7.117126e-02	-138.126
77.344184	1.065162e-01	-9.053124e-02	5.612305e-02	148.204
77.421451	1.064075e-01	2.842006e-02	1.025420e-01	74.509
77.498718	1.063006e-01	1.062905e-01	1.465306e-03	0.790
77.575985	1.061924e-01	3.113023e-02	-1.015270e-01	-72.953
77.653252	1.060860e-01	-8.868906e-02	-5.821071e-02	-146.721
77.730518	1.059786e-01	-8.057158e-02	6.884541e-02	139.487
77.807785	1.058725e-01	4.361695e-02	9.647042e-02	65.671
77.885052	1.057662e-01	1.046931e-01	-1.502791e-02	-8.169
77.962319	1.056601e-01	1.464423e-02	-1.046403e-01	-82.033
78.039586	1.055548e-01	-9.636984e-02	-4.306589e-02	-155.921
78.116853	1.054485e-01	-6.801511e-02	8.058127e-02	130.166
78.194120	1.053442e-01	5.855617e-02	8.757035e-02	56.230
78.271387	1.052377e-01	1.002391e-01	-3.204841e-02	-17.730
78.348654	1.051338e-01	-3.144942e-03	-1.050867e-01	-91.714
78.425921	1.050272e-01	-1.017829e-01	-2.590269e-02	-165.722
78.503188	1.049233e-01	-5.285131e-02	9.064011e-02	120.246
78.580455	1.048169e-01	7.255979e-02	7.564165e-02	46.191
78.657721	1.047125e-01	9.255114e-02	-4.897946e-02	-27.888
78.734988	1.046068e-01	-2.173103e-02	-1.023247e-01	-101.990
78.812255	1.045015e-01	-1.042616e-01	-7.076749e-03	-176.117
78.889522	1.043969e-01	-3.525143e-02	9.826525e-02	109.735
78.966789	1.042905e-01	8.484001e-02	6.065216e-02	35.561
79.044056	1.041876e-01	8.138619e-02	-6.504882e-02	-38.634
79.121323	1.040801e-01	-4.042303e-02	-9.590956e-02	-112.854
79.198590	1.039790e-01	-1.031826e-01	1.284485e-02	172.904
79.275857	1.038706e-01	-1.560131e-02	1.026923e-01	98.638
79.353124	1.037712e-01	9.454100e-02	4.278390e-02	24.349
79.430391	1.036627e-01	6.668673e-02	-7.936515e-02	-49.961
79.507658	1.035640e-01	-5.836008e-02	-8.555468e-02	-124.299
79.584924	1.034568e-01	-9.802264e-02	3.308875e-02	161.347
79.662191	1.033563e-01	5.483183e-03	1.032108e-01	86.959
79.739458	1.032551e-01	1.007819e-01	2.246384e-02	12.566
79.816725	1.031415e-01	4.861405e-02	-9.096620e-02	-61.879
79.893992	1.030884e-01	-7.452110e-02	-7.123082e-02	-136.293
79.971259	1.028347e-01	-8.815786e-02	5.294499e-02	149.012
80.048526	1.018392e-01	2.835787e-02	9.781130e-02	73.832
80.125793	1.009778e-01	1.009501e-01	-2.366142e-03	-1.343
80.203060	1.005569e-01	2.361780e-02	-9.774395e-02	-76.416
80.280327	1.003043e-01	-8.815877e-02	-4.784336e-02	-151.512
80.357594	1.001454e-01	-6.875567e-02	7.281322e-02	133.358
80.434861	1.000433e-01	5.273374e-02	8.501656e-02	58.190
80.512127	9.997623e-02	9.559791e-02	-2.926239e-02	-17.019
80.589394	9.992911e-02	-3.952498e-03	-9.985091e-02	-92.267
80.666661	9.989094e-02	-9.754279e-02	-2.153143e-02	-167.552
80.743928	9.985491e-02	-4.553107e-02	8.887026e-02	117.128
80.821195	9.981448e-02	7.443940e-02	6.649592e-02	41.774
80.898462	9.976757e-02	8.308935e-02	-5.522435e-02	-33.610
80.975729	9.971024e-02	-3.249742e-02	-9.426585e-02	-109.021
81.052996	9.964327e-02	-9.934171e-02	7.746370e-03	175.541
81.130263	9.956463e-02	-1.742644e-02	9.802773e-02	100.080
81.207530	9.947660e-02	9.045000e-02	4.140522e-02	24.597
81.284797	9.937873e-02	6.266686e-02	-7.712974e-02	-50.907
81.362064	9.927362e-02	-5.895255e-02	-7.987395e-02	-126.430
81.439330	9.916218e-02	-9.196026e-02	3.710052e-02	158.029
81.516597	9.904643e-02	1.298114e-02	9.819208e-02	82.469
81.593864	9.892837e-02	9.821347e-02	1.187169e-02	6.892
81.671131	9.880890e-02	3.588816e-02	-9.206105e-02	-68.703
81.748398	9.869070e-02	-8.016007e-02	-5.756924e-02	-144.315
81.825665	9.857340e-02	-7.557179e-02	6.328996e-02	140.054
81.902932	9.845991e-02	4.253461e-02	8.879843e-02	64.405
81.980199	9.834878e-02	9.645483e-02	-1.920803e-02	-11.263
82.057466	9.824263e-02	5.226653e-03	-9.810350e-02	-86.950
82.134733	9.813945e-02	-9.367830e-02	-2.925284e-02	-162.658
82.212000	9.804107e-02	-5.139130e-02	8.349243e-02	121.613
82.289267	9.794556e-02	6.820612e-02	7.029408e-02	45.864
82.366533	9.785359e-02	8.482217e-02	-4.879061e-02	-29.908
82.443800	9.776390e-02	-2.645625e-02	-9.411614e-02	-105.701
82.521067	9.767587e-02	-9.764166e-02	2.584720e-03	178.484
82.598334	9.758932e-02	-2.136603e-02	9.522168e-02	102.647
82.675601	9.750242e-02	8.703924e-02	4.394193e-02	26.787
82.752868	9.741620e-02	6.378998e-02	-7.362578e-02	-49.094
82.830135	9.732797e-02	-5.582121e-02	-7.972908e-02	-124.997
82.907402	9.723974e-02	-9.082864e-02	3.472353e-02	159.078
82.984669	9.714852e-02	1.161609e-02	9.645155e-02	83.133
83.061936	9.705680e-02	9.629867e-02	1.210742e-02	7.166
83.139203	9.696197e-02	3.503130e-02	-9.041256e-02	-68.821
83.216470	9.686634e-02	-7.918111e-02	-5.579819e-02	-144.828
83.293736	9.676824e-02	-7.319289e-02	6.330001e-02	139.145
83.371003	9.666920e-02	4.373859e-02	8.620830e-02	63.099
83.448270	9.656893e-02	9.410647e-02	-2.166865e-02	-12.967
83.525537	9.646771e-02	1.595781e-03	-9.645451e-02	-89.052
83.602804	9.636675e-02	-9.315061e-02	-2.468832e-02	-165.156
83.680071	9.626490e-02	-4.625922e-02	8.442165e-02	118.721
83.757338	9.616470e-02	7.081056e-02	6.506546e-02	42.579
83.834605	9.606376e-02	8.002976e-02	-5.313647e-02	-33.583
83.911872	9.596547e-02	-3.244867e-02	-9.031309e-02	-109.763
83.989139	9.586667e-02	-9.534803e-02	9.958461e-03	174.037
84.066406	9.577087e-02	-1.302757e-02	9.488067e-02	97.818
84.143673	9.567489e-02	8.896876e-02	3.518871e-02	21.580
84.220939	9.558159e-02	5.526083e-02	-7.798770e-02	-54.679
84.298206	9.548853e-02	-6.259207e-02	-7.211306e-02	-130.957
84.375473	9.539722e-02	-8.480528e-02	4.368860e-02	152.744
84.452740	9.530662e-02	2.236792e-02	9.264463e-02	76.426
84.530007	9.521645e-02	9.521634e-02	1.452889e-04	0.087
84.607274	9.512746e-02	2.257739e-02	-9.240939e-02	-76.271
84.684541	9.503751e-02	-8.441352e-02	-4.366332e-02	-152.650
84.761808	9.494910e-02	-6.223257e-02	7.171080e-02	130.952
84.839075	9.485856e-02	5.503927e-02	7.725817e-02	54.534
84.916342	9.476972e-02	8.792801e-02	-3.535483e-02	-21.904
84.993609	9.467809e-02	-1.376922e-02	-9.367149e-02	-98.362
85.070876	9.458803e-02	-9.420470e-02	-8.507127e-03	-174.840
85.148142	9.449519e-02	-3.023974e-02	8.952597e-02	108.664
85.225409	9.440349e-02	7.992984e-02	5.023186e-02	32.147
85.302676	9.430968e-02	6.739663e-02	-6.596976e-02	-44.387
85.379943	9.421628e-02	-4.844269e-02	-8.080851e-02	-120.942
85.457210	9.412201e-02	-8.975910e-02	2.832416e-02	162.487
85.534477	9.402726e-02	6.731896e-03	9.378596e-02	85.894
85.611744	9.393316e-02	9.270238e-02	1.515607e-02	9.285
85.689011	9.383765e-02	3.614615e-02	-8.659654e-02	-67.344
85.766278	9.374430e-02	-7.583143e-02	-5.511432e-02	-143.990
85.843545	9.364880e-02	-7.104502e-02	6.101396e-02	139.344
85.920812	9.355662e-02	4.296772e-02	8.310605e-02	62.660
85.998079	9.346190e-02	9.066888e-02	-2.267776e-02	-14.043
86.075345	9.337100e-02	-1.244758e-03	-9.336271e-02	-90.764
86.152612	9.327771e-02	-9.106775e-02	-2.018407e-02	-167.503
86.229879	9.318795e-02	-4.046724e-02	8.394282e-02	115.738
86.307146	9.309650e-02	7.238878e-02	5.853907e-02	38.962
86.384413	9.300749e-02	7.345525e-02	-5.705015e-02	-37.835
86.461680	9.291800e-02	-3.875179e-02	-8.445149e-02	-114.649
86.538947	9.282923e-02	-9.097104e-02	1.848072e-02	168.517
86.616214	9.274153e-02	-2.695720e-03	9.270235e-02	91.666
86.693481	9.265250e-02	8.958129e-02	2.365755e-02	14.794
86.770748	9.256615e-02	4.332123e-02	-8.180320e-02	-62.095
86.848015	9.247650e-02	-6.979770e-02	-6.066452e-02	-139.005
86.925282	9.239085e-02	-7.481098e-02	5.421611e-02	144.069
87.002548	9.230047e-02	3.588231e-02	8.504021e-02	67.123
87.079815	9.221480e-02	9.085782e-02	-1.576155e-02	-9.841
87.157082	9.212385e-02	5.104644e-03	-9.198231e-02	-86.824
87.234349	9.203745e-02	-8.839436e-02	-2.563843e-02	-163.825
87.311616	9.194634e-02	-4.479617e-02	8.029591e-02	119.157
87.388883	9.185864e-02	6.813778e-02	6.160562e-02	42.118
87.466150	9.176797e-02	7.523090e-02	-5.255161e-02	-34.936
87.543417	9.167859e-02	-3.435982e-02	-8.499627e-02	-112.011
87.620684	9.158899e-02	-9.043620e-02	1.448575e-02	170.900
87.697951	9.149786e-02	-6.045963e-03	9.129789e-02	93.789
87.775218	9.140984e-02	8.757091e-02	2.621251e-02	16.664
87.852485	9.131720e-02	4.499125e-02	-7.946457e-02	-60.482
87.929751	9.123101e-02	-6.741630e-02	-6.146658e-02	-137.643
88.007018	9.113742e-02	-7.481566e-02	5.204466e-02	145.176
88.084285	9.105294e-02	3.414022e-02	8.441021e-02	67.979
88.161552	9.095925e-02	8.977999e-02	-1.459927e-02	-9.236
88.238819	9.087592e-02	5.595179e-03	-9.070351e-02	-86.470
88.316086	9.078319e-02	-8.714258e-02	-2.545108e-02	-163.719
88.393353	9.070006e-02	-4.398631e-02	7.932028e-02	119.010
88.470620	9.060946e-02	6.762354e-02	6.030863e-02	41.728
88.547887	9.052529e-02	7.362423e-02	-5.267163e-02	-35.580
88.625154	9.043796e-02	-3.518743e-02	-8.331188e-02	-112.897
88.702421	9.035138e-02	-8.891182e-02	1.606425e-02	169.759
88.779688	9.026832e-02	-3.791029e-03	9.018868e-02	92.407
88.856954	9.017802e-02	8.709426e-02	2.338087e-02	15.027
88.934221	9.009993e-02	4.179840e-02	-7.981786e-02	-62.360
89.011488	9.000496e-02	-6.871947e-02	-5.812509e-02	-139.774
89.088755	8.993204e-02	-7.163487e-02	5.437111e-02	142.801
89.166022	8.983205e-02	3.745984e-02	8.164900e-02	65.355
89.243289	8.976382e-02	8.776688e-02	-1.882868e-02	-12.108
89.320556	8.965944e-02	6.498126e-04	-8.965709e-02	-89.585
89.397823	8.959436e-02	-8.732917e-02	-2.001912e-02	-167.089
89.475090	8.948774e-02	-3.839583e-02	8.083202e-02	115.408
89.552357	8.942238e-02	7.060057e-02	5.488097e-02	37.860
89.629624	8.931864e-02	6.875639e-02	-5.701209e-02	-39.665
89.706891	8.924524e-02	-4.088334e-02	-7.933010e-02	-117.265
89.784157	8.915619e-02	-8.619786e-02	2.277618e-02	165.199
89.861424	8.906849e-02	3.823582e-03	8.898639e-02	87.540
89.938691	8.902644e-02	8.771773e-02	1.520881e-02	9.836
90.015958	8.715235e-02	3.021909e-02	-8.174557e-02	-69.712
90.093225	8.340206e-02	-7.258592e-02	-4.107538e-02	-150.495
90.170492	8.173597e-02	-5.228754e-02	6.282343e-02	129.770
90.247759	8.077270e-02	5.179196e-02	6.198243e-02	50.118
90.325026	8.016918e-02	6.975246e-02	-3.951825e-02	-29.534
90.402293	7.979278e-02	-2.626558e-02	-7.534592e-02	-109.219
90.479560	7.956964e-02	-7.860067e-02	1.237993e-02	171.049
90.556827	7.945261e-02	-1.751828e-03	7.943329e-02	91.263
90.634094	7.940952e-02	7.783667e-02	1.572656e-02	11.423
90.711360	7.941675e-02	2.914181e-02	-7.387676e-02	-68.472
90.788627	7.945706e-02	-6.768990e-02	-4.161132e-02	-148.420
90.865894	7.951685e-02	-5.277720e-02	5.947686e-02	131.584
90.943161	7.958615e-02	4.949683e-02	6.232189e-02	51.543
91.020428	7.965678e-02	6.997692e-02	-3.805829e-02	-28.540
91.097695	7.972303e-02	-2.551010e-02	-7.553142e-02	-108.662
91.174962	7.978008e-02	-7.883710e-02	1.222998e-02	171.182
91.252229	7.982493e-02	-1.386025e-03	7.981290e-02	90.995
91.329496	7.985510e-02	7.844582e-02	1.493621e-02	10.780
91.406763	7.986938e-02	2.802411e-02	-7.479149e-02	-69.459
91.484030	7.986694e-02	-6.897093e-02	-4.027082e-02	-149.720
91.561297	7.984783e-02	-5.132491e-02	6.116722e-02	130.000
91.638563	7.981237e-02	5.161856e-02	6.087314e-02	49.703
91.715830	7.976143e-02	6.864814e-02	-4.061180e-02	-30.608
91.793097	7.969617e-02	-2.847257e-02	-7.443649e-02	-110.932
91.870364	7.961789e-02	-7.808330e-02	1.555658e-02	168.732
91.947631	7.952833e-02	2.238006e-03	7.949684e-02	88.387
92.024898	7.942898e-02	7.864952e-02	1.110030e-02	8.033
92.102165	7.932186e-02	2.407892e-02	-7.557886e-02	-72.328
92.179432	7.920846e-02	-7.038471e-02	-3.633144e-02	-152.698
92.256699	7.909087e-02	-4.751587e-02	6.322664e-02	126.925
92.333966	7.897043e-02	5.431781e-02	5.732281e-02	46.542
92.411233	7.884910e-02	6.548496e-02	-4.391926e-02	-33.849
92.488500	7.872797e-02	-3.233108e-02	-7.178297e-02	-114.247
92.565766	7.860874e-02	-7.605221e-02	1.988454e-02	165.348
92.643033	7.849216e-02	6.931458e-03	7.818551e-02	84.934
92.720300	7.837958e-02	7.813676e-02	6.164824e-03	4.511
92.797567	7.827141e-02	1.904068e-02	-7.592013e-02	-75.921
92.874834	7.816856e-02	-7.161040e-02	-3.134124e-02	-156.363
92.952101	7.807114e-02	-4.273116e-02	6.533874e-02	123.184
93.029368	7.797957e-02	5.728989e-02	5.290257e-02	42.720
93.106635	7.789375e-02	6.158425e-02	-4.769504e-02	-37.757
93.183902	7.781361e-02	-3.682641e-02	-6.854760e-02	-118.246
93.261169	7.773890e-02	-7.361348e-02	2.498784e-02	161.250
93.338436	7.766914e-02	1.250769e-02	7.665541e-02	80.733
93.415703	7.760398e-02	7.760351e-02	2.719360e-04	0.201
93.492969	7.754262e-02	1.300300e-02	-7.644462e-02	-80.347
93.570236	7.748472e-02	-7.322316e-02	-2.534267e-02	-160.909
93.647503	7.742922e-02	-3.696079e-02	6.803811e-02	118.512
93.724770	7.737586e-02	6.104086e-02	4.755036e-02	37.918
93.802037	7.732343e-02	5.683368e-02	-5.242944e-02	-42.692
93.879304	7.727180e-02	-4.244381e-02	-6.457131e-02	-123.318
93.956571	7.721974e-02	-7.056610e-02	3.135784e-02	156.041
94.033838	7.716724e-02	1.947283e-02	7.466989e-02	75.384
94.111105	7.711318e-02	7.678489e-02	-7.107991e-03	-5.289
94.188372	7.705766e-02	5.406973e-03	-7.686772e-02	-85.976
94.265639	7.699974e-02	-7.492787e-02	-1.774189e-02	-166.678
94.342906	7.693962e-02	-2.957359e-02	7.102892e-02	112.605
94.420172	7.687664e-02	6.528416e-02	4.059553e-02	31.875
94.497439	7.681103e-02	5.052435e-02	-5.785520e-02	-48.870
94.574706	7.674245e-02	-4.894500e-02	-5.910830e-02	-129.627
94.651973	7.667113e-02	-6.613212e-02	3.879441e-02	149.603
94.729240	7.659708e-02	2.767310e-02	7.142347e-02	68.821
94.806507	7.652045e-02	7.485567e-02	-1.587477e-02	-11.973
94.883774	7.644160e-02	-3.706671e-03	-7.635168e-02	-92.779
94.961041	7.636057e-02	-7.588424e-02	-8.515730e-03	-173.597
95.038308	7.627803e-02	-2.047972e-02	7.347734e-02	105.574
95.115575	7.619388e-02	6.920364e-02	3.188046e-02	24.734
95.192842	7.610905e-02	4.243159e-02	-6.318344e-02	-56.116
95.270109	7.602325e-02	-5.557973e-02	-5.186933e-02	-136.978
95.347375	7.593763e-02	-5.996195e-02	4.659494e-02	142.150
95.424642	7.585171e-02	3.646392e-02	6.651213e-02	61.267
95.501909	7.576674e-02	7.136483e-02	-2.544917e-02	-19.627
95.579176	7.568212e-02	-1.383236e-02	-7.440732e-02	-100.531
95.656443	7.559907e-02	-7.557498e-02	1.908608e-03	178.553
95.733710	7.551692e-02	-1.002261e-02	7.484886e-02	97.627
95.810977	7.543677e-02	7.225927e-02	2.166344e-02	16.689
95.888244	7.535794e-02	3.272661e-02	-6.788069e-02	-64.260
95.965511	7.528131e-02	-6.183331e-02	-4.294085e-02	-145.222
96.042778	7.520627e-02	-5.205906e-02	5.427556e-02	133.806
96.120045	7.513339e-02	4.540386e-02	5.986248e-02	52.821
96.197312	7.506223e-02	6.616741e-02	-3.544308e-02	-28.176
96.274578	7.499296e-02	-2.464519e-02	-7.082767e-02	-109.186
96.351845	7.492540e-02	-7.373946e-02	1.327809e-02	169.792
96.429112	7.485928e-02	1.623732e-03	7.484167e-02	88.757
96.506379	7.479475e-02	7.411866e-02	1.003390e-02	7.710
96.583646	7.473106e-02	2.141056e-02	-7.159832e-02	-73.351
96.660913	7.466876e-02	-6.735277e-02	-3.223396e-02	-154.425
96.738180	7.460664e-02	-4.224468e-02	6.149421e-02	124.488
96.815447	7.454563e-02	5.417368e-02	5.120805e-02	43.388
96.892714	7.448414e-02	5.891350e-02	-4.557507e-02	-37.725
96.969981	7.442348e-02	-3.591233e-02	-6.518557e-02	-118.851
97.047248	7.436172e-02	-6.988127e-02	2.542193e-02	160.009
97.124515	7.430050e-02	1.435913e-02	7.289979e-02	78.857
97.201781	7.423770e-02	7.417749e-02	-2.989499e-03	-2.308
97.279048	7.417515e-02	8.415265e-03	-7.369624e-02	-83.486
97.356315	7.411072e-02	-7.147576e-02	-1.958611e-02	-164.676
97.433582	7.404627e-02	-3.026061e-02	6.758066e-02	114.121
97.510849	7.397985e-02	6.211009e-02	4.019146e-02	32.907
97.588116	7.391314e-02	4.914968e-02	-5.520382e-02	-48.320
97.665383	7.384460e-02	-4.702922e-02	-5.693223e-02	-129.559
97.742650	7.377554e-02	-6.336392e-02	3.778683e-02	149.190
97.819917	7.370501e-02	2.769505e-02	6.830383e-02	67.929
97.897184	7.363371e-02	7.164544e-02	-1.699568e-02	-13.345
